,NUM_POSTE,vent_dir_inst,LAT,LON
119,52055001,209.22222222222223,48.384167,5.067
120,52248002,240.16666666666666,48.022167,5.455333
121,54171001,221.27777777777777,49.1535,5.929333
122,54481001,222.44444444444446,48.514833,6.845667
123,54582001,217.88888888888889,49.482167,5.578167
124,55386002,231.11111111111111,48.934167,5.763833
125,55484001,230.0,49.276333,5.155
126,55531001,217.38888888888889,48.808667,5.033167
127,56017003,203.88888888888889,47.884333,-2.728833
128,56243001,223.27777777777777,47.6045,-2.714167
129,57251001,229.77777777777777,48.979333,6.243167
130,57587003,220.83333333333334,48.909833,6.693167
131,57644001,225.55555555555554,49.127667,6.831
132,57732001,233.72222222222223,49.124,7.381833
133,58062001,195.11111111111111,47.070333,3.934333
134,58079004,205.55555555555554,47.441,3.509
135,58160001,243.94444444444446,46.998333,3.112667
136,58218006,231.33333333333334,47.170333,3.3695
137,59534001,221.88888888888889,50.1455,3.925167
138,59606004,224.72222222222223,50.328333,3.461
139,60322001,220.0,49.3065,1.8795
140,60555002,226.16666666666666,49.650333,2.370833
141,60566001,227.88888888888889,49.623333,1.790833
142,60639001,225.61111111111111,49.4465,2.127167
143,61006005,231.61111111111111,48.718167,0.0115
144,62685001,216.81564245810057,50.549167,2.113667
145,65125001,269.0,43.127167,0.3665
146,65460002,274.55555555555554,43.3755,0.045833
147,66136001,300.3888888888889,42.737167,2.872833
148,66137003,297.1666666666667,42.473333,2.8595
149,66187006,272.3333333333333,42.8205,2.485333
150,66233001,308.7150837988827,42.5365,2.760833
151,67029001,233.55555555555554,48.884333,7.151667
152,67462004,253.77777777777777,48.272833,7.478333
153,67516001,231.94444444444446,48.7435,7.61
154,68062001,224.33333333333334,47.632,7.212833
155,70132001,213.22222222222223,47.507,5.5955
156,70447002,216.5,47.438167,6.062
157,70545001,209.44444444444446,47.836,5.990167
158,70561002,225.58659217877096,47.543667,6.433
159,71014004,219.38888888888889,46.972,4.263167
160,71081001,225.83333333333334,46.827,4.825667
161,71105001,238.94444444444446,46.2945,4.794333
162,71320001,226.88888888888889,46.627667,4.477
163,71558001,202.55555555555554,46.529333,5.255333
164,77054001,235.88888888888889,48.351667,3.023333
165,77084001,225.66666666666666,48.964667,3.011833
166,77211001,236.27777777777777,48.595333,3.007667
167,77306001,232.77777777777777,48.610333,2.6795
168,77333003,208.61111111111111,48.27,2.715
169,78005002,221.88888888888889,48.983167,2.126
170,78354001,247.44444444444446,48.963667,1.674167
171,79174002,210.33519553072625,46.235,-0.151333
172,79191005,217.44444444444446,46.315833,-0.400167
173,79326004,212.11111111111111,46.725333,-0.020333
174,80523001,232.72222222222223,49.971833,2.703833
175,80682001,237.38888888888889,49.765167,2.698333
176,81115002,214.77777777777777,43.478333,2.657833
177,81182004,183.91061452513966,43.725,2.3555
178,81192005,260.05555555555554,43.633333,2.8255
179,81217002,219.5,43.981,1.680667
180,81292001,188.5,44.107167,2.279667
181,82038006,224.0,44.220167,1.704167
182,82094004,247.87709497206703,44.271,1.1155
183,85060002,239.05555555555554,46.477167,-1.725833
184,85092004,221.61111111111111,46.448167,-0.779833
185,85169002,227.87709497206703,46.808,-1.597667
186,85182004,208.88268156424581,46.766,-0.830833
187,86027001,219.11111111111111,46.593833,0.314333
188,86078002,212.83333333333334,46.160333,0.298667
189,86137003,214.41340782122904,47.034833,0.097667
190,86165005,218.83333333333334,46.411833,0.841167
191,87089003,205.0,46.209667,1.187
192,87154003,215.94444444444446,45.900833,0.917
193,88271001,217.0,48.160833,5.961167
194,88393003,204.77272727272728,48.359167,5.716667
195,88402002,216.38888888888889,48.383,6.608167
196,89333001,230.77777777777777,47.488333,4.058667
197,89365001,230.22346368715083,47.658,2.985333
198,89380001,217.5,48.0865,3.104
199,89387002,237.02247191011236,48.167667,3.288667
200,89418007,224.5,47.868167,3.995
201,91184001,200.66666666666666,48.421833,2.374333
202,91200002,219.77777777777777,48.526167,1.993
